mask_id,timestamp,status
1,353.283582856,sent
2,353.315609299,sent
3,353.348923251,sent
4,353.381639222,sent
5,353.41561036,sent
6,353.448291617,sent
7,353.482494606,sent
8,353.514987262,sent
9,353.548383452,sent
10,353.581722653,sent
11,353.615060764,sent
12,353.648393041,sent
13,353.681738877,sent
14,353.715111027,sent
15,353.748394585,sent
16,353.781671669,sent
17,353.815045839,sent
18,353.848345776,sent
19,353.881733151,sent
20,353.915032319,sent
21,353.948407546,sent
22,353.981724374,sent
23,354.015067005,sent
24,354.048406045,sent
25,354.081712297,sent
26,354.115061786,sent
27,354.148385826,sent
28,354.181716822,sent
29,354.215058138,sent
30,354.248398268,sent
31,354.281734873,sent
32,354.315045996,sent
33,354.34840648,sent
34,354.381697666,sent
35,354.415049624,sent
36,354.44841046,sent
37,354.481706454,sent
38,354.515073723,sent
39,354.548402495,sent
40,354.581705756,sent
41,354.615058342,sent
42,354.648404421,sent
43,354.681701977,sent
44,354.715071132,sent
45,354.748397437,sent
46,354.781714126,sent
47,354.815069628,sent
48,354.848393818,sent
49,354.881719161,sent
50,354.915046587,sent
51,354.948401641,sent
52,354.981747912,sent
53,355.015059923,sent
54,355.048415649,sent
55,355.081734646,sent
56,355.115075918,sent
57,355.148396293,sent
58,355.181738976,sent
59,355.215078485,sent
60,355.248406103,sent
61,355.281708563,sent
62,355.315065571,sent
63,355.348418477,sent
64,355.381750711,sent
65,355.415089098,sent
66,355.448419121,sent
67,355.481714497,sent
68,355.515080512,sent
69,355.548404166,sent
70,355.581752208,sent
71,355.615047628,sent
72,355.648404483,sent
73,355.681784285,sent
74,355.715011122,sent
75,355.748398839,sent
76,355.781683908,sent
77,355.815079733,sent
78,355.848409412,sent
79,355.881757614,sent
80,355.915127,sent
81,355.948441008,sent
82,355.981710148,sent
83,356.015075657,sent
84,356.048414693,sent
85,356.081767799,sent
86,356.115052483,sent
87,356.148444879,sent
88,356.181767315,sent
89,356.215089719,sent
90,356.248409976,sent
91,356.281766254,sent
92,356.315093465,sent
93,356.348451923,sent
94,356.381755964,sent
95,356.415068625,sent
96,356.448409649,sent
97,356.481772369,sent
98,356.515013826,sent
99,356.548455173,sent
100,356.581726805,sent
101,356.615020164,sent
102,356.648371942,sent
103,356.681723881,sent
104,356.715005383,sent
105,356.748401545,sent
106,356.781736916,sent
107,356.815051713,sent
108,356.84838702,sent
109,356.881721911,sent
110,356.9150477,sent
111,356.948400792,sent
112,356.981740073,sent
113,357.014955625,sent
114,357.048295258,sent
115,357.081658028,sent
116,357.115025349,sent
117,357.148315824,sent
118,357.181733072,sent
119,357.215050978,sent
120,357.248440186,sent
121,357.281715022,sent
122,357.315062539,sent
123,357.3483376,sent
124,357.381600707,sent
125,357.41495537,sent
126,357.448282537,sent
127,357.481610281,sent
128,357.514982442,sent
129,357.5482831,sent
130,357.581635765,sent
131,357.615000094,sent
132,357.64841925,sent
133,357.681715838,sent
134,357.715073823,sent
135,357.748395085,sent
136,357.781737752,sent
137,357.81506648,sent
138,357.848286547,sent
139,357.881601593,sent
140,357.914938076,sent
141,357.948295932,sent
142,357.981650552,sent
143,358.014949062,sent
144,358.048321563,sent
145,358.081619849,sent
146,358.114929896,sent
147,358.14836831,sent
148,358.181571138,sent
149,358.214972862,sent
150,358.248279512,sent
151,358.281648007,sent
152,358.314941967,sent
153,358.348319178,sent
154,358.381606762,sent
155,358.414960516,sent
156,358.448398258,sent
157,358.481725576,sent
158,358.515041952,sent
159,358.548444298,sent
160,358.58163068,sent
161,358.615040556,sent
162,358.64840333,sent
163,358.681730601,sent
164,358.715044511,sent
165,358.748412444,sent
166,358.781700143,sent
167,358.815044012,sent
168,358.848410984,sent
169,358.881715057,sent
170,358.91504111,sent
171,358.948329803,sent
172,358.981708021,sent
173,359.015052211,sent
174,359.048404411,sent
175,359.0816138,sent
176,359.115055622,sent
177,359.148423715,sent
178,359.181700808,sent
179,359.215023049,sent
180,359.248496753,sent
181,359.28172636,sent
182,359.315078335,sent
183,359.34840064,sent
184,359.381740536,sent
185,359.414954603,sent
186,359.448396425,sent
187,359.481737218,sent
188,359.515059869,sent
189,359.548406881,sent
190,359.5817058,sent
191,359.61505685,sent
192,359.64841232,sent
193,359.681611434,sent
194,359.714970813,sent
195,359.748317794,sent
196,359.781597873,sent
197,359.814943668,sent
198,359.848376933,sent
199,359.881651982,sent
200,359.91503943,sent
201,359.948418194,sent
202,359.981726597,sent
203,360.015073289,sent
204,360.048395021,sent
205,360.081738829,sent
206,360.115065079,sent
207,360.148413213,sent
208,360.1817559,sent
209,360.215076126,sent
210,360.248407951,sent
211,360.281721449,sent
212,360.315054459,sent
213,360.348409962,sent
214,360.381722915,sent
215,360.415084378,sent
216,360.448408737,sent
217,360.481740306,sent
218,360.514970789,sent
219,360.548742236,sent
220,360.581710786,sent
221,360.614961632,sent
222,360.648336533,sent
223,360.681732195,sent
224,360.715049521,sent
225,360.748420321,sent
226,360.781693274,sent
227,360.815056512,sent
228,360.848371564,sent
229,360.881729484,sent
230,360.915027074,sent
231,360.948402103,sent
232,360.981714368,sent
233,361.015077478,sent
234,361.04841611,sent
235,361.081750001,sent
236,361.115069186,sent
237,361.1484058,sent
238,361.181674363,sent
239,361.215038915,sent
240,361.248441594,sent
241,361.281744118,sent
242,361.315075062,sent
243,361.348430931,sent
244,361.3817241,sent
245,361.415086057,sent
246,361.448398706,sent
247,361.481732276,sent
248,361.515017177,sent
249,361.54841936,sent
250,361.581720016,sent
251,361.615071964,sent
252,361.648412635,sent
253,361.681741452,sent
254,361.71509247,sent
255,361.748417283,sent
256,361.781792169,sent
257,361.815000685,sent
258,361.84827962,dropped
259,361.881789064,dropped
260,361.914977461,dropped
261,361.948355968,dropped
262,361.981621895,dropped
263,362.014987139,dropped
264,362.048283469,dropped
265,362.081641569,dropped
266,362.114950682,dropped
267,362.1482935,dropped
268,362.181598192,dropped
269,362.21507451,dropped
270,362.248365522,dropped
271,362.281712024,dropped
272,362.315012359,dropped
273,362.348438827,dropped
274,362.381682392,dropped
275,362.41504331,dropped
276,362.448343902,dropped
277,362.481764218,dropped
278,362.515030743,dropped
279,362.548477376,dropped
280,362.581707764,dropped
281,362.615048518,dropped
282,362.648351084,dropped
283,362.681710931,dropped
284,362.7150307,dropped
285,362.748415855,dropped
286,362.781685649,dropped
287,362.815059207,dropped
288,362.848373466,dropped
289,362.881705249,dropped
290,362.915034598,dropped
291,362.948411712,dropped
292,362.981668531,dropped
