mask_id,timestamp,status
1,2168543.745806029,sent
2,2168543.782844009,sent
3,2168543.822480523,sent
4,2168543.861800424,sent
5,2168543.902658204,sent
6,2168543.945211016,sent
7,2168543.98238295,sent
8,2168544.021752068,sent
9,2168544.06172641,sent
10,2168544.101726929,sent
11,2168544.141742489,sent
12,2168544.181767424,sent
13,2168544.221833992,sent
14,2168544.261809423,sent
15,2168544.301773429,sent
16,2168544.341787165,sent
17,2168544.381742531,sent
18,2168544.421716298,sent
19,2168544.461727441,sent
20,2168544.501739352,sent
21,2168544.541708989,sent
22,2168544.581713825,sent
23,2168544.621771687,sent
24,2168544.661757515,sent
25,2168544.701833457,sent
26,2168544.741731764,sent
27,2168544.781743481,sent
28,2168544.821739326,sent
29,2168544.861730498,sent
30,2168544.901754471,sent
31,2168544.941750764,sent
32,2168544.981757169,sent
33,2168545.021731157,sent
34,2168545.061734906,sent
35,2168545.101955746,sent
36,2168545.141721251,sent
37,2168545.181728104,sent
38,2168545.221714572,sent
39,2168545.261738609,sent
40,2168545.301719222,sent
41,2168545.34172905,sent
42,2168545.381767744,sent
43,2168545.421743652,sent
44,2168545.461738184,sent
45,2168545.501743234,sent
46,2168545.54176534,sent
47,2168545.581737685,sent
48,2168545.621727215,sent
49,2168545.661744936,sent
50,2168545.701748258,sent
51,2168545.74176678,sent
52,2168545.781818742,sent
53,2168545.821719151,sent
54,2168545.861724904,sent
55,2168545.901759202,sent
56,2168545.941769244,sent
57,2168545.981736373,sent
58,2168546.021825616,sent
59,2168546.061801482,sent
60,2168546.101814563,sent
61,2168546.141738204,sent
62,2168546.181720533,sent
63,2168546.221725871,sent
64,2168546.261733417,sent
65,2168546.302036743,sent
66,2168546.341723708,sent
67,2168546.381807511,sent
68,2168546.421757232,sent
69,2168546.461718889,sent
70,2168546.501742467,sent
71,2168546.541820862,sent
72,2168546.581834008,sent
73,2168546.62171688,sent
74,2168546.661725129,sent
75,2168546.701730371,sent
76,2168546.741722429,sent
77,2168546.781719574,sent
78,2168546.821734768,sent
79,2168546.861739178,sent
80,2168546.901731843,sent
81,2168546.941719549,sent
82,2168546.981749623,sent
83,2168547.021733936,sent
84,2168547.061750762,sent
85,2168547.101741572,sent
86,2168547.141732669,sent
87,2168547.181852185,sent
88,2168547.221732497,sent
89,2168547.261741803,sent
90,2168547.301851462,sent
91,2168547.341788959,sent
92,2168547.38177708,sent
93,2168547.421723217,sent
94,2168547.461722795,sent
95,2168547.502019881,sent
96,2168547.541778079,sent
97,2168547.581762648,sent
98,2168547.621727793,sent
99,2168547.661712587,sent
100,2168547.701761701,sent
